role,name,team,q,fvm,alias
A,Malen,Roma,38,450,
A,Martinez L.,Inter,33,361,Lautaro Lautaro Martinez
D,Dimarco,Inter,31,240,
C,Paz N.,Como,29,245,Nico Paz
C,Calhanoglu,Inter,28,243,
A,Hojlund,Napoli,28,260,
A,Thuram,Inter,28,249,
C,McTominay,Napoli,27,220,
A,Ramos G.,Milan,27,237,
A,Kolo Muani,Juventus,25,165,
C,Orsolini,Bologna,25,177,
A,Kean,Como,24,183,
C,Pulisic,Milan,24,150,
C,Rabiot,Milan,23,145,
A,Woltemade,Juventus,23,160,
A,Douvikas,Como,22,185,
A,Yildiz,Juventus,22,100,
C,Baturina,Como,20,105,
C,Mora,Roma,20,100,
A,Berardi,Sassuolo,19,106,
A,Davis K.,Udinese,19,108,
A,Scamacca,Atalanta,19,110,
P,Svilar,Roma,19,85,
C,Barella,Inter,18,81,
C,Da Cunha,Como,18,87,
A,Krstovic,Atalanta,18,98,
A,Leao,Milan,18,75,
D,Molina N.,Roma,18,78,
D,Wesley,Roma,18,87,
C,Zaniolo,Udinese,18,80,
P,Carnesecchi,Atalanta,17,55,
C,De Bruyne,Napoli,17,108,
A,De Ketelaere,Atalanta,17,95,
A,Esposito F.P.,Inter,17,105,Francesco Pio Esposito Pio Esposito
P,Martinez Jo.,Inter,17,68,Josep Martinez
C,McKennie,Juventus,17,70,
P,Vicario,Juventus,17,70,
D,Bremer,Juventus,16,60,
A,Dybala,Roma,16,100,
D,Mancini,Roma,16,50,
C,Zaccagni,Lazio,16,87,
D,Akanji,Inter,15,47,
C,Atta,Fiorentina,15,78,
P,Butez,Como,15,50,
A,Dovbyk,Bologna,15,51,
A,Laurientè,Sassuolo,15,83,
P,Maignan,Milan,15,52,
D,Rrahmani,Napoli,15,51,
D,Bastoni,Inter,14,43,
A,Beto,Fiorentina,14,50,
A,Castro S.,Roma,14,70,
D,Kalulu,Juventus,14,47,
D,Pavlovic,Milan,14,49,
A,Pellegrino M.,Fiorentina,14,40,
A,Raspadori,Atalanta,14,73,
A,Santos A.,Napoli,14,61,
A,Simeone,Torino,14,80,
C,Conceicao,Juventus,13,68,
D,Gila,Milan,13,31,
D,N'Dicka,Roma,13,42,
A,Nkunku,Milan,13,24,
C,Samardzic,Atalanta,13,44,
D,Solet,Udinese,13,46,
A,Soulè,Roma,13,48,
C,Taylor K.,Lazio,13,53,
C,Vlasic,Torino,13,73,
D,Bisseck,Inter,12,36,
D,Di Lorenzo,Napoli,12,39,
A,Diao,Como,12,50,
C,Ederson D.S.,Atalanta,12,46,
C,Ekkelenkamp,Udinese,12,57,
A,Esposito Se.,Sassuolo,12,40,
C,Goncalves P.,Fiorentina,12,50,
C,Gonzalez N.,Juventus,12,45,
C,Gudmundsson A.,Lazio,12,40,
C,Jones C.,Inter,12,47,
C,Kessiè,Atalanta,12,47,
A,Kevin Carlos,Cagliari,12,36,
C,Modric,Milan,12,45,
A,Pinamonti,Lazio,12,53,
D,Stones,Inter,12,25,
C,Zielinski,Inter,12,45,
A,Adams A.,Venezia,11,35,
C,Alajbegovic,Juventus,11,42,
C,Baldanzi,Genoa,11,28,
A,Colombo,Genoa,11,52,
P,De Gea,Fiorentina,11,30,
D,Hermoso,Roma,11,26,
C,Mastantuono,Fiorentina,11,50,
P,Meret,Napoli,11,48,
C,Moreira,Milan,11,45,
D,Ostigard,Genoa,11,41,
C,Rodriguez Je.,Como,11,31,Jesus Rodriguez
C,Saelemaekers,Milan,11,35,
D,Spence,Inter,11,37,
A,Adams C.,Torino,10,33,
C,Bernardeschi,Bologna,10,27,
P,Caprile,Cagliari,10,25,
D,Chalobah T.,Como,10,32,
A,Dia,Lazio,10,20,
C,Frattesi,Lazio,10,75,
C,Konè M.,Roma,10,42,
P,Mandas,Lazio,10,36,
C,Perrone,Como,10,34,
D,Ramon,Como,10,31,
A,Romero D.,Parma,10,37,
C,Rowe,Atalanta,10,40,
D,Scalvini,Atalanta,10,28,
P,Skorupski,Bologna,10,32,
C,Thorstvedt,Sassuolo,10,39,
A,Tourè E.,Parma,10,37,
C,Vergara,Napoli,10,35,
C,Zambo Anguissa,Napoli,10,41,
A,Bobcek,Frosinone,9,31,
A,Bowie,Sassuolo,9,32,
C,Cancellieri,Lazio,9,25,
C,Casadei,Torino,9,27,
C,Colpani,Monza,9,15,
C,Cristante,Roma,9,29,
A,Cutrone,Monza,9,23,
A,David,Juventus,9,25,
P,Di Gregorio,Juventus,9,40,
C,Diouf,Inter,9,43,
D,Dodò,Fiorentina,9,20,
C,Isaksen,Lazio,9,22,
D,Kamara H.,Udinese,9,12,
C,Locatelli,Juventus,9,33,
P,Okoye,Udinese,9,28,
C,Pellegrini Lo.,Roma,9,20,Lorenzo Pellegrini
P,Perri,Torino,9,26,
C,Politano,Napoli,9,37,
A,Raimondo,Frosinone,9,27,
A,Ratkov,Lazio,9,22,
C,Sucic P.,Inter,9,21,
C,Thuram K.,Juventus,9,25,
D,Vasquez,Genoa,9,30,
D,Vojvoda,Udinese,9,19,
C,Volpato,Sassuolo,9,25,
A,Yeboah J.,Venezia,9,27,
D,Bartesaghi,Milan,8,22,
P,Bijlow,Genoa,8,15,
C,Calò,Frosinone,8,27,
C,Cambiaghi,Bologna,8,25,
D,Cambiaso,Juventus,8,18,
D,Celik,Juventus,8,16,
C,Chukwueze,Milan,8,22,
D,Comuzzo,Torino,8,13,
D,Couto,Como,8,25,
A,Dallinga,Bologna,8,14,
D,Delprato,Parma,8,21,
D,Diego Carlos,Parma,8,26,
D,Doekhi,Lazio,8,16,
P,Falcone,Lecce,8,26,
A,Geubbels,Lecce,8,23,
A,Ghedjemis,Frosinone,8,23,
C,Hutchinson,Milan,8,25,
C,Konè I.,Sassuolo,8,20,
D,Koulierakis,Roma,8,15,
C,Lobotka,Napoli,8,23,
C,Mandragora,Torino,8,23,
C,Mbangula,Bologna,8,28,
D,Miranda J.,Bologna,8,23,
D,Norton-Cuffy,Genoa,8,15,
C,Odgaard,Bologna,8,17,
A,Osmajic,Genoa,8,28,
C,Pasalic,Atalanta,8,22,
A,Piccoli,Bologna,8,29,
P,Sanchez Ro.,Como,8,25,Robert Sanchez
C,Schmid,Frosinone,8,25,
D,Spinazzola,Napoli,8,25,
D,Theate,Bologna,8,20,
D,Tiago Gabriel,Lecce,8,20,
D,Valeri,Parma,8,22,
A,Vitinha O.,Genoa,8,13,
D,Zappacosta,Atalanta,8,19,
C,Adopo,Cagliari,7,13,
C,Akinsanmiro,Monza,7,11,
D,Badiashile,Napoli,7,18,
D,Belghali,Torino,7,20,
C,Bernabè,Parma,7,34,
A,Boga,Juventus,7,27,
A,Bonny,Inter,7,15,
D,Bracaglia,Frosinone,7,15,
D,Coco,Torino,7,14,
C,Coulibaly L.,Lecce,7,17,
D,Dragusin,Fiorentina,7,20,
C,Elmas,Atalanta,7,22,
C,Fagioli,Fiorentina,7,20,
C,Ferguson,Bologna,7,23,
C,Frendrup,Genoa,7,19,
D,Gabbia,Milan,7,15,
C,Gaetano,Atalanta,7,30,
A,Gnonto,Fiorentina,7,25,
D,Hien,Atalanta,7,11,
D,Idzes,Sassuolo,7,19,
D,Ismajli,Torino,7,13,
D,Jimenez A.,Fiorentina,7,18,
C,Karlstrom,Udinese,7,20,
C,Koopmeiners,Juventus,7,15,
D,Lucumì,Juventus,7,17,
D,Mangas,Monza,7,15,
D,Mina,Cagliari,7,20,
C,Monteiro J.,Lecce,7,23,
P,Muric,Sassuolo,7,15,
C,Ndour,Fiorentina,7,22,
D,Obert,Cagliari,7,15,
C,Pisilli,Roma,7,19,
C,Romano,Cagliari,7,21,
C,Rovella,Lazio,7,16,
A,Rrahmani Al.,Venezia,7,13,
C,Sarr P.,Juventus,7,25,
C,Sow,Genoa,7,15,
D,Sutalo J.,Lazio,7,19,
D,Tavares N.,Lazio,7,25,
C,Unai Gomez,Udinese,7,16,
A,Varela G.,Monza,7,40,
C,Zalewski,Atalanta,7,18,
D,Zortea,Bologna,7,19,
C,Adzic,Sassuolo,6,16,
C,Bakola,Sassuolo,6,14,
D,Balerdi,Roma,6,11,
C,Basic,Venezia,6,19,
D,Bellanova,Atalanta,6,17,
D,Bernasconi,Atalanta,6,18,
D,Beukema,Napoli,6,12,
C,Braganca,Torino,6,20,
D,Buongiorno,Napoli,6,15,
C,Cacciamani,Torino,6,24,
D,Caleta-Car,Sassuolo,6,15,
C,Caqueret,Como,6,17,
D,Carlos Augusto,Inter,6,20,
P,Daffara,Parma,6,7,
C,Ellertsson,Genoa,6,16,
C,Fazzini,Cagliari,6,23,
D,Fortini,Torino,6,12,
D,Gallo,Lecce,6,12,
D,Heggem,Bologna,6,15,
D,Holm,Bologna,6,13,
D,Kaiki,Como,6,13,
D,Kolasinac,Atalanta,6,8,
D,Kristensen T.,Atalanta,6,20,
A,Kvernadze,Frosinone,6,24,
D,Leysen F.,Sassuolo,6,12,
C,Liberali,Como,6,21,
D,Marcandalli,Genoa,6,14,
D,Marusic,Lazio,6,20,
C,Matic,Sassuolo,6,15,
C,Milla,Como,6,30,
D,Monterisi,Frosinone,6,13,
A,Mutandwa,Cagliari,6,7,
A,Neres,Napoli,6,20,
C,Nicolussi Caviglia,Parma,6,16,
A,Noslin,Lazio,6,8,
D,Obrador,Sassuolo,6,13,
C,Oristanio,Torino,6,12,
C,Oulai,Fiorentina,6,18,
D,Oyono A.,Frosinone,6,10,
D,Pavard,Inter,6,14,
D,Pedraza,Lazio,6,14,
C,Pessina,Monza,6,15,
C,Pierotti,Lecce,6,19,
C,Piotrowski,Udinese,6,15,
C,Pobega,Bologna,6,12,
D,Romagnoli,Lazio,6,20,
P,Stankovic F.,Venezia,6,11,
A,Stulic,Lecce,6,11,
D,Sugawara,Cagliari,6,15,
A,Sulemana K.,Atalanta,6,8,
D,Tomori,Milan,6,8,
C,Tourè I.,Monza,6,14,
D,Valle,Como,6,21,
D,Veiga D.,Lecce,6,12,
D,Viery,Fiorentina,6,12,
C,Winks,Cagliari,6,15,
A,Zapata D.,Torino,6,12,
A,Zeballos,Monza,6,18,
C,Zerbin,Frosinone,6,12,
C,Zhegrova,Juventus,6,17,
C,Busio,Venezia,5,14,
D,De Winter,Milan,5,20,
C,Dele-Bashiru,Lazio,5,13,
C,Jashari,Milan,5,13,
C,Keita M.,Parma,5,15,
C,Luis Henrique,Inter,5,12,
A,Maldini,Cagliari,5,21,
P,Milinkovic-Savic V.,Napoli,5,5,Vanja Milinkovic Savic
A,Ngonge,Monza,5,13,
D,Olivera,Napoli,5,13,
P,Palmisani,Frosinone,5,12,
D,Patterson,Torino,5,12,
C,Perez K.,Venezia,5,15,
C,Sohm,Venezia,5,11,
D,Valdepenas,Fiorentina,5,16,
C,Addai,Como,4,10,
A,Adorante,Venezia,4,8,
C,Almqvist,Parma,4,11,
C,Berisha M.,Lecce,4,12,
D,Bertola,Udinese,4,10,
D,Birindelli,Monza,4,12,
A,Borrelli,Cagliari,4,9,
A,Camarda,Milan,4,20,
C,Cataldi,Lazio,4,12,
C,De Roon,Roma,4,10,
C,Douglas Luiz,Juventus,4,15,
C,El Aynaoui,Roma,4,13,
C,Fabbian,Parma,4,8,
A,Fatah,Lecce,4,14,
D,Favasuli,Napoli,4,11,
D,Floriani Mussolini,Lazio,4,10,
C,Folorunsho,Monza,4,17,
A,Frigan,Parma,4,6,
D,Gatti,Juventus,4,10,
A,Giovane,Napoli,4,7,
A,Gueye,Udinese,4,7,
A,Lang,Napoli,4,14,
C,Loftus-Cheek,Milan,4,16,
A,Lucca,Napoli,4,12,
C,Messias,Genoa,4,8,
A,Milik,Juventus,4,10,
C,Mkhitaryan,Inter,4,9,
C,Moro N.,Bologna,4,14,
A,Mota,Monza,4,8,
A,N'Dri,Lecce,4,12,
C,Njie,Fiorentina,4,28,
A,Nzola,Cagliari,4,10,
D,Parisi,Fiorentina,4,10,
D,Pongracic,Fiorentina,4,8,
D,Provstgaard,Lazio,4,13,
D,Rensch,Roma,4,14,
C,Ricci S.,Como,4,12,
D,Zanoli,Udinese,4,10,
C,Aboukhlal,Torino,3,5,
C,Brescianini,Fiorentina,3,11,
D,Candè,Sassuolo,3,7,
D,Casale,Bologna,3,5,
C,Deiola,Cagliari,3,8,
C,Diallo O.,Parma,3,12,
D,Drameh,Genoa,3,10,
A,Ekhator,Juventus,3,10,
A,Elphege,Parma,3,11,
D,Estupinan,Milan,3,13,
C,Gilmour,Napoli,3,10,
D,Joao Mario,Fiorentina,3,12,
A,Lontani,Parma,3,11,
C,Maleh,Lecce,3,7,
C,Musah,Milan,3,15,
D,Palma,Udinese,3,11,
D,Ranieri L.,Fiorentina,3,10,
C,Stankovic A.,Inter,3,7,
C,Sulemana I.,Sassuolo,3,7,
D,Troilo,Parma,3,14,
C,Belahyane,Lazio,2,3,
D,Biraghi,Torino,2,5,
C,Boloca,Sassuolo,2,5,
C,Chakvetadze,Udinese,2,6,
C,Ciurria,Monza,2,6,
P,Corvi,Parma,2,10,
C,Cremaschi,Parma,2,3,
P,Desplanches,Frosinone,2,1,
C,Duncan,Venezia,2,4,
C,Fadera,Cagliari,2,12,
D,Lazzari,Lazio,2,5,
D,Pellegrini Lu.,Lazio,2,7,Luca Pellegrini
P,Provedel,Inter,2,5,
D,Sabelli,Genoa,2,5,
P,Bleve,Lecce,1,1,
D,Cabal,Juventus,1,4,
P,Contini,Napoli,1,1,
P,De Marzi,Roma,1,1,
P,Di Gennaro,Inter,1,1,
P,Gollini,Roma,1,1,
P,Grabara,Juventus,1,1,
P,Happonen,Bologna,1,1,
P,Lezzerini,Fiorentina,1,1,
P,Montipò,Venezia,1,1,
P,Pinsoglio,Juventus,1,1,
P,Sportiello,Atalanta,1,1,
P,Terracciano,Milan,1,1,
P,Torriani,Milan,1,1,
A,Trepy,Cagliari,1,2,
P,Turati,Sassuolo,1,1,
A,Vaz,Roma,1,4,
D,Ziolkowski,Monza,1,8,
P,Suzuki,Parma,7,24,
D,Ahanor,Atalanta,6,20,
D,Circati,Parma,6,20,
A,Gimenez,Milan,6,20,
P,Perin,Juventus,6,20,
C,Amondarain,Bologna,5,18,
D,Bella-Kotchap,Venezia,5,18,
A,Birligea,Frosinone,5,18,
D,Calvani,Frosinone,5,18,
C,Cissè A.,Milan,5,18,
D,Correia T.,Venezia,5,18,
D,Doig,Sassuolo,5,18,
C,Felici,Cagliari,5,18,
C,Fitz-Jim,Torino,5,18,
D,Gaspar K.,Lecce,5,18,
D,Ghilardi,Roma,5,18,
C,Gineitis,Torino,5,18,
D,Haps,Venezia,5,18,
D,Kelly L.,Juventus,5,18,
D,Kempf,Como,5,18,
D,Kofler,Cagliari,5,18,
D,Martin,Genoa,5,18,
C,Meichtry,Genoa,5,18,
D,Pedersen,Torino,5,18,
D,Zè Pedro,Cagliari,5,18,
C,Amorim,Genoa,4,14,
D,Arizala,Udinese,4,14,
C,Cichella,Frosinone,4,14,
D,Cittadini,Frosinone,4,14,
D,Comert,Torino,4,14,
D,Delli Carri,Monza,4,14,
C,Dominguez B.,Sassuolo,4,14,
C,Fini,Frosinone,4,14,
C,Fofana Y.,Milan,4,14,
C,Gandelman,Lecce,4,14,
C,Grillitsch,Frosinone,4,14,
D,Hainaut,Venezia,4,14,
A,Havel,Genoa,4,14,
C,Ilkhan,Torino,4,14,
D,Juan Jesus,Venezia,4,14,
D,Kabasele,Udinese,4,14,
D,Kossounou,Atalanta,4,14,
C,Koutsoupias,Frosinone,4,14,
A,Kulenovic,Torino,4,14,
C,Massolin,Cagliari,4,14,
A,Mendy P.,Cagliari,4,14,
C,Miller L.,Udinese,4,14,
D,Mitaj,Genoa,4,14,
A,Morata,Como,4,14,
D,Moreno M.,Venezia,4,14,
C,Ngom,Lecce,4,14,
C,Prati,Cagliari,4,14,
A,Robinson J.,Monza,4,14,
D,Rodriguez Ju.,Cagliari,4,14,Juan Rodriguez
D,Siebert,Lecce,4,14,
D,Smolcic I.,Como,4,14,
D,Terzic,Frosinone,4,14,
P,Thiam,Monza,4,14,
C,Traorè Hj.,Genoa,4,14,
D,Valenti,Parma,4,14,
D,Vitik,Bologna,4,14,
D,Walukiewicz,Sassuolo,4,14,
D,Zappa,Cagliari,4,14,
D,Akpoguma,Frosinone,3,10,
D,Britschgi,Parma,3,10,
D,Carboni A.,Monza,3,10,
C,Colombo L.,Monza,3,10,
D,Ebosse,Udinese,3,10,
C,Fernandez T.,Venezia,3,10,
D,Franjic,Venezia,3,10,
C,Gagliardini,Cagliari,3,10,
C,Gelli F.,Frosinone,3,10,
C,Gorter,Lecce,3,10,
D,Halhal,Venezia,3,10,
C,Helgason,Venezia,3,10,
D,Helland,Bologna,3,10,
D,Idrissi R.,Cagliari,3,10,
D,Kambwala,Como,3,10,
D,Kouadio,Monza,3,10,
A,Kuhn,Como,3,10,
D,Lucchesi,Monza,3,10,
C,Masini,Frosinone,3,10,
C,Miretti,Juventus,3,10,
D,Odenthal,Sassuolo,3,10,
C,Ordonez C.,Parma,3,10,
D,Schingtienne,Venezia,3,10,
C,Sorensen O.,Parma,3,10,
D,Sverko,Venezia,3,10,
D,Tchato,Frosinone,3,10,
D,Abankwah,Udinese,2,6,
D,Alhassane,Bologna,2,6,
D,Aurelio,Cagliari,2,6,
D,Bakoune,Monza,2,6,
A,Buksa,Udinese,2,6,
D,Cinquegrano,Sassuolo,2,6,
D,Diawara S.,Milan,2,6,
D,Drobnic,Parma,2,6,
C,El Azzouzi O.,Bologna,2,6,
